COVERED CALL WRITES: CASH

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUC:    Raw Return, if unchanged, cash
  ARIUC:   Annualized Return, if unchanged, cash
  RIEC:    Raw Return, if exercised, cash
  ARIEC:   Annualized Return, if exercised, cash
  DBEC:    Downside breakeven point, cash
  UBEC:    UPSIDE breakeven point, cash
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, cash
  AERTNC:  Annualized EXPECTED Return, cash
  Invt:    Investment for cash covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
QQQM    218.41  Jun  150     71.50    2.0    3.9    2.0    3.9 147.01 221.35  0.33  0.01   100   100    46     2.0     3.8 147.01   107/   24
QQQM    218.41  Mar  150     70.00    1.0    3.6    1.0    3.6 148.51 219.85  0.32  0.01   100   100    47     1.0     3.6 148.51   142/   24
QQQM    218.41  Jun  145     76.30    1.9    3.7    1.9    3.7 142.21 221.15  0.35  0.01   100   100    46     1.9     3.7 142.21   120/   24
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
QQQM    218.41  Mar  155     65.10    1.0    3.7    1.0    3.7 153.41 219.95  0.30  0.01   100   100    47     1.0     3.7 153.41   130/   24
QQQM    218.41  Mar  160     60.30    1.1    4.1    1.1    4.1 158.21 220.15  0.28  0.01   100   100    47     1.1     4.1 158.21   117/   24
HLT     252.76  Jan'26 80   175.50    3.3    3.1    3.3    3.1  77.36 255.35  0.69  0.01   100   100    49     3.3     3.1  77.36   231/    4
QQQM    218.41  Jun  155     66.80    2.1    4.1    2.1    4.1 151.71 221.65  0.31  0.01   100    99    46     2.1     4.1 151.71    99/   24
PYPL     91.02  Apr  55      36.95    1.4    4.2    1.4    4.2  54.17  91.80  0.40  0.01   100   100    48     1.4     4.2  54.17    93/    8
AAPL    248.13  Mar  170     80.20    1.1    4.3    1.1    4.3 168.03 250.05  0.32  0.01   100   100    47     1.1     4.3 168.03   153/    8
PWR     337.60  Jan'26 135  207.50    3.6    3.3    3.6    3.3 130.20 342.35  0.61  0.01   100   100    48     3.6     3.3 130.20   103/   66
AAPL    248.13  Feb  170     79.45    0.7    3.6    0.7    3.6 168.78 249.30  0.32  0.00   100   100    48     0.7     3.6 168.78   198/    8
PWR     337.60  Jan'26 140  203.00    3.9    3.6    3.9    3.6 134.70 342.85  0.60  0.02   100   100    48     3.9     3.5 134.70    98/   66
AAPL    248.13  Feb  175     74.55    0.7    3.8    0.7    3.8 173.68 249.40  0.30  0.01   100   100    48     0.7     3.8 173.68   160/    8
AAPL    248.13  Apr  170     80.85    1.5    4.5    1.5    4.5 167.38 250.70  0.33  0.01   100   100    46     1.5     4.5 167.38   141/    8
PWR     337.60  Jan'26 145  198.00    3.8    3.4    3.8    3.4 139.70 342.85  0.59  0.02   100    99    48     3.7     3.4 139.70    93/   66
AAPL    248.13  Feb  165     84.50    0.7    3.9    0.7    3.9 163.73 249.35  0.34  0.00   100   100    48     0.7     3.9 163.73   192/    8
PSTG     63.70  Mar  35      29.20    1.0    3.8    1.0    3.8  34.60  64.05  0.46  0.01   100   100    49     1.0     3.7  34.60    51/   20
AAPL    248.13  Apr  160     90.70    1.5    4.5    1.5    4.5 157.53 250.55  0.37  0.01   100   100    47     1.5     4.5 157.53   166/    8
AAPL    248.13  Mar  165     85.10    1.1    4.2    1.1    4.2 163.13 249.95  0.34  0.01   100   100    47     1.1     4.1 163.13   167/    8
PWR     337.60  Jan'26 130  212.00    3.4    3.1    3.4    3.1 125.70 341.85  0.63  0.01   100   100    49     3.4     3.1 125.70   106/   66
AAPL    248.13  Jan  170     78.85    0.3    3.5    0.3    3.5 169.38 248.70  0.32  0.00   100   100    48     0.3     3.5 169.38   254/    8
AAPL    248.13  Apr  165     85.70    1.5    4.3    1.5    4.3 162.53 250.55  0.34  0.01   100   100    47     1.5     4.3 162.53   152/    8
AAPL    248.13  Mar  180     70.45    1.2    4.5    1.2    4.5 177.78 250.30  0.28  0.01   100   100    47     1.2     4.5 177.78   129/    8
MA      529.00  Feb  430    102.05    0.7    3.5    0.7    3.5 427.05 531.90  0.19  0.01   100    99    47     0.7     3.5 427.05   108/   19
AAPL    248.13  Feb  180     69.65    0.8    4.0    0.8    4.0 178.58 249.50  0.28  0.01   100   100    47     0.8     4.0 178.58   162/    8
PYPL     91.02  Mar  52.5    39.10    0.8    3.1    0.8    3.1  52.02  91.45  0.43  0.00   100   100    49     0.8     3.1  52.02   113/    8
PYPL     91.02  Mar  55      36.70    1.0    3.6    1.0    3.6  54.42  91.55  0.40  0.01   100   100    49     1.0     3.6  54.42    99/    8
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
CCI      97.11  Jan  80      17.50    0.3    3.1    0.3    3.1  79.71  97.35  0.18  0.00   100   100    49     0.3     3.1  79.71   182/    7
PYPL     91.02  Feb  55      36.50    0.6    3.2    0.6    3.2  54.62  91.35  0.40  0.00   100   100    49     0.6     3.1  54.62   128/    8
CB      276.09  Feb  200     77.40    0.6    3.0    0.6    3.0 198.79 277.25  0.28  0.00   100   100    48     0.6     3.0 198.79   102/  100
AAPL    248.13  Apr  175     76.05    1.6    4.7    1.6    4.7 172.18 250.90  0.31  0.01   100   100    46     1.6     4.7 172.18   130/    8
AAPL    248.13  Mar  175     75.40    1.2    4.6    1.2    4.6 172.83 250.25  0.30  0.01   100   100    47     1.2     4.6 172.83   143/    8
CB      276.09  Feb  205     72.50    0.6    3.2    0.6    3.2 203.69 277.35  0.26  0.00   100   100    48     0.6     3.2 203.69    99/  100
AAPL    248.13  Jan  180     68.90    0.3    3.6    0.3    3.6 179.33 248.75  0.28  0.00   100   100    48     0.3     3.6 179.33   211/    8
PWR     337.60  Aug  170    171.50    2.3    3.4    2.3    3.4 166.20 341.35  0.51  0.01   100    99    48     2.2     3.3 166.20    93/   66
CB      276.09  Feb  210     67.60    0.7    3.4    0.7    3.4 208.59 277.45  0.24  0.00   100   100    48     0.6     3.4 208.59    85/  100
AMZN    227.46  Jan  180     48.55    0.5    5.5    0.5    5.5 179.01 228.40  0.21  0.00   100   100    48     0.5     5.4 179.01    82/   16
HLT     252.76  Jun  155    100.70    1.8    3.5    1.8    3.5 152.16 255.55  0.40  0.01   100    99    48     1.8     3.5 152.16   134/    4
HLT     252.76  Apr  155     99.70    1.2    3.4    1.2    3.4 153.16 254.55  0.39  0.01   100   100    48     1.2     3.4 153.16   162/    4
AMZN    227.46  Jan+ 175     53.75    0.7    4.9    0.7    4.9 173.81 228.60  0.24  0.01   100   100    48     0.6     4.8 173.81    86/   16
KKR     154.34  Mar  97.5    57.90    0.9    3.5    0.9    3.5  96.54 155.25  0.37  0.01   100   100    49     0.9     3.5  96.54    95/   20
KNSL    506.73  Jul  280    232.00    1.9    3.1    1.9    3.1 274.83 511.85  0.46  0.01   100    99    48     1.8     3.1 274.83    73/   28
AMZN    227.46  Jan  175     53.50    0.5    5.3    0.5    5.3 174.06 228.35  0.23  0.00   100   100    48     0.5     5.3 174.06    98/   16
KO       63.12  Feb  47.5    16.10    0.7    3.7    0.7    3.7  47.12  63.45  0.25  0.01   100   100    48     0.7     3.6  47.12   172/   80
KO       63.12  Feb  50      13.60    0.7    3.5    0.7    3.5  49.62  63.45  0.21  0.01   100   100    48     0.7     3.4  49.62   241/   80
WING    301.33  Mar  165    138.10    1.0    3.7    1.0    3.7 163.33 302.95  0.46  0.01   100   100    49     1.0     3.7 163.33   101/   42
HLT     252.76  Jun  150    105.50    1.8    3.4    1.8    3.4 147.36 255.35  0.42  0.01   100   100    48     1.7     3.4 147.36   141/    4
KO       63.12  Feb  40      23.50    0.6    3.0    0.6    3.0  39.72  63.35  0.37  0.00   100   100    48     0.6     3.0  39.72   285/   80
KO       63.12  Feb  45      18.55    0.6    3.3    0.6    3.3  44.67  63.40  0.29  0.00   100   100    48     0.6     3.3  44.67   267/   80
HLT     252.76  Jul  150    106.20    2.2    3.8    2.2    3.8 146.66 256.05  0.42  0.01   100    99    47     2.2     3.7 146.66   136/    4
KKR     154.34  Jun  85      71.20    2.1    4.0    2.1    4.0  83.24 156.05  0.46  0.01   100   100    48     2.0     3.9  83.24    93/   20
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
AMZN    227.46  Jan  160     68.40    0.5    5.2    0.5    5.2 159.16 228.25  0.30  0.00   100   100    48     0.5     5.2 159.16   146/   16
FFIV    261.81  Aug  145    120.00    2.1    3.2    2.1    3.2 141.91 264.85  0.46  0.01   100   100    48     2.1     3.2 141.91   128/    5
AMZN    227.46  Mar  155     75.15    1.7    6.2    1.7    6.2 152.41 230.00  0.33  0.01   100   100    47     1.7     6.2 152.41   100/   16
AMZN    227.46  Apr  150     80.60    2.0    5.9    2.0    5.9 146.96 230.45  0.35  0.01   100   100    47     2.0     5.9 146.96    98/   16
AMZN    227.46  Jan  155     73.25    0.4    4.3    0.4    4.3 154.31 228.10  0.32  0.00   100   100    49     0.4     4.3 154.31   159/   16
AMZN    227.46  Feb  155     74.10    1.0    5.1    1.0    5.1 153.46 228.95  0.33  0.01   100   100    48     1.0     5.1 153.46   115/   16
AMZN    227.46  Jan  165     63.35    0.5    4.7    0.5    4.7 164.21 228.20  0.28  0.00   100   100    48     0.5     4.7 164.21   128/   16
AMZN    227.46  Feb  165     64.50    1.2    6.0    1.2    6.0 163.06 229.35  0.28  0.01   100   100    47     1.2     6.0 163.06    93/   16
AMZN    227.46  Jan  170     58.45    0.5    5.2    0.5    5.2 169.11 228.30  0.26  0.00   100   100    48     0.5     5.2 169.11   113/   16
AMZN    227.46  Mar  160     70.35    1.7    6.5    1.7    6.5 157.21 230.20  0.31  0.01   100    99    47     1.7     6.4 157.21    90/   16
FFIV    261.81  Aug  150    115.20    2.2    3.3    2.2    3.3 146.71 265.05  0.44  0.01   100   100    48     2.2     3.3 146.71   119/    5
AMZN    227.46  Jan+ 160     68.55    0.6    4.4    0.6    4.4 159.01 228.40  0.30  0.00   100   100    48     0.6     4.4 159.01   124/   16
AMZN    227.46  Feb  160     69.45    1.2    6.1    1.2    6.1 158.11 229.30  0.30  0.01   100   100    47     1.2     6.1 158.11   105/   16
WING    301.33  Mar  170    133.20    1.0    3.8    1.0    3.8 168.23 303.05  0.44  0.01   100   100    49     1.0     3.7 168.23    94/   42
FLUT    277.71  Jan'26 115  167.50    4.2    3.8    4.2    3.8 110.31 282.35  0.60  0.02   100    99    48     4.2     3.8 110.31    90/   13
HLT     252.76  Sep  125    131.00    2.5    3.3    2.5    3.3 121.86 255.85  0.52  0.01   100   100    48     2.5     3.3 121.86   163/    4
LIN     435.30  Feb  350     88.20    0.8    4.1    0.8    4.1 347.20 438.05  0.20  0.01   100    99    47     0.8     4.1 347.20   118/   44
HLT     252.76  Jan'26 125  133.50    4.7    4.3    4.7    4.3 119.36 258.35  0.53  0.02   100    99    47     4.6     4.2 119.36   147/    4
HLT     252.76  Jun  130    125.00    1.6    3.2    1.6    3.2 127.86 254.85  0.49  0.01   100   100    48     1.6     3.2 127.86   186/    4
LIN     435.30  Feb  340     97.80    0.7    3.6    0.7    3.6 337.60 437.65  0.22  0.01   100   100    47     0.7     3.6 337.60   136/   44
RACE    454.18  May  290    168.20    1.4    3.2    1.4    3.2 286.08 458.05  0.37  0.01   100   100    48     1.3     3.2 286.08    86/   40
HLT     252.76  Jan'26 115  142.50    4.2    3.8    4.2    3.8 110.36 257.35  0.56  0.02   100   100    47     4.1     3.8 110.36   159/    4
HLT     252.76  Jan'26 110  147.00    3.9    3.5    3.9    3.5 105.86 256.85  0.58  0.02   100   100    48     3.9     3.5 105.86   169/    4
HLT     252.76  Jan'26 105  152.00    4.1    3.7    4.1    3.7 100.86 256.85  0.60  0.02   100   100    48     4.0     3.7 100.86   179/    4
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
AAPL    248.13  Apr  185     66.50    1.8    5.2    1.8    5.2 181.73 251.35  0.27  0.01   100   100    45     1.8     5.1 181.73   109/    8
RACE    454.18  Dec'25 230  232.00    3.5    3.4    3.5    3.4 222.28 461.85  0.51  0.02   100    99    48     3.4     3.4 222.28    94/   40
RACE    454.18  Dec'25 220  241.50    3.4    3.3    3.4    3.3 212.78 461.35  0.53  0.02   100   100    48     3.4     3.3 212.78   102/   40
HLT     252.76  Jan'26 120  138.00    4.4    4.1    4.4    4.1 114.86 257.85  0.55  0.02   100   100    47     4.4     4.0 114.86   153/    4
WING    301.33  Jan  210     92.10    0.3    3.1    0.3    3.1 209.33 301.95  0.31  0.00   100   100    49     0.3     3.0 209.33    99/   42
HLT     252.76  Sep  135    121.50    2.7    3.6    2.7    3.6 131.36 256.35  0.48  0.01   100   100    48     2.7     3.5 131.36   145/    4
HLT     252.76  Jul  135    120.50    2.0    3.3    2.0    3.3 132.36 255.35  0.48  0.01   100   100    48     2.0     3.3 132.36   163/    4
HLT     252.76  Jul  140    115.70    2.0    3.4    2.0    3.4 137.16 255.55  0.46  0.01   100   100    48     2.0     3.4 137.16   154/    4
HLT     252.76  Jul  145    111.00    2.2    3.7    2.2    3.7 141.86 255.85  0.44  0.01   100   100    48     2.2     3.6 141.86   144/    4
HLT     252.76  Jun  145    110.50    1.8    3.5    1.8    3.5 142.36 255.35  0.44  0.01   100   100    48     1.8     3.5 142.36   154/    4
HLT     252.76  Sep  140    116.60    2.7    3.5    2.7    3.5 136.26 256.45  0.46  0.01   100    99    48     2.7     3.5 136.26   137/    4
ARGX    607.20  May  310    302.00    1.5    3.6    1.5    3.6 305.30 611.85  0.50  0.01   100    99    49     1.5     3.5 305.30    89/   51
LIN     435.30  Feb  330    107.80    0.7    3.7    0.7    3.7 327.60 437.65  0.25  0.01   100   100    47     0.7     3.7 327.60   154/   44
HLT     252.76  Sep  130    126.10    2.5    3.3    2.5    3.3 126.76 255.95  0.50  0.01   100   100    48     2.5     3.3 126.76   155/    4
ARGX    607.20  May  300    311.50    1.4    3.3    1.4    3.3 295.80 611.35  0.51  0.01   100   100    49     1.4     3.3 295.80    94/   51
HLT     252.76  Jun  135    120.00    1.6    3.0    1.6    3.0 132.86 254.85  0.47  0.01   100   100    48     1.6     3.0 132.86   172/    4
LIN     435.30  Feb  295    142.20    0.6    3.1    0.6    3.1 293.20 437.05  0.33  0.00   100   100    48     0.6     3.1 293.20   219/   44
ARGX    607.20  May  280    331.00    1.3    3.1    1.3    3.1 276.30 610.85  0.54  0.01   100   100    49     1.3     3.1 276.30   106/   51
PSTG     63.70  Jan'26 20    44.60    3.9    3.6    3.9    3.6  19.20  64.45  0.70  0.01   100   100    49     3.9     3.5  19.20    65/   20
AXON    644.91  Jan  450    196.40    0.3    3.1    0.3    3.1 448.61 646.25  0.30  0.00   100   100    49     0.3     3.0 448.61    89/   61
GOOGL   189.82  Jan  145     45.40    0.3    3.1    0.3    3.1 144.52 190.25  0.24  0.00   100   100    49     0.3     3.1 144.52   113/   52
GOOGL   189.82  Jan  150     40.50    0.4    3.7    0.4    3.7 149.42 190.35  0.21  0.00   100   100    49     0.3     3.6 149.42    93/   52
GOOGL   189.82  Jan  140     50.40    0.3    3.2    0.3    3.2 139.52 190.25  0.26  0.00   100   100    49     0.3     3.2 139.52   132/   52
GOOGL   189.82  Feb  135     56.20    0.9    4.8    0.9    4.8 133.72 191.05  0.30  0.01   100   100    48     0.9     4.8 133.72   112/   52
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
MNDY    273.08  Jan'26 80   196.50    4.3    3.9    4.3    3.9  76.68 276.35  0.72  0.01   100   100    49     4.2     3.9  76.68    94/   14
MNDY    273.08  Jan'26 85   192.00    4.6    4.2    4.6    4.2  81.18 276.85  0.70  0.01   100    99    49     4.6     4.2  81.18    90/   14
BA      169.65  Mar  100     70.95    1.2    4.3    1.2    4.3  98.80 170.80  0.42  0.01   100   100    49     1.2     4.3  98.80    88/   62
BA      169.65  Apr  100     71.40    1.6    4.8    1.6    4.8  98.35 171.25  0.42  0.01   100    99    48     1.6     4.7  98.35    77/   62
BA      169.65  Feb  105     65.65    0.8    4.3    0.8    4.3 104.10 170.50  0.39  0.01   100   100    49     0.8     4.3 104.10    94/   62
BA      169.65  Feb  100     70.50    0.7    3.7    0.7    3.7  99.25 170.35  0.41  0.00   100   100    49     0.7     3.7  99.25   105/   62
BA      169.65  Feb  95      75.40    0.6    3.3    0.6    3.3  94.35 170.25  0.44  0.00   100   100    49     0.6     3.3  94.35   120/   62
BA      169.65  Mar  95      75.80    1.1    4.0    1.1    4.0  93.95 170.65  0.45  0.01   100   100    49     1.1     4.0  93.95   100/   62
BA      169.65  Apr  95      76.20    1.5    4.4    1.5    4.4  93.55 171.05  0.45  0.01   100   100    48     1.5     4.3  93.55    86/   62
GOOGL   189.82  Apr  115     76.70    1.5    4.5    1.5    4.5 113.22 191.55  0.40  0.01   100   100    48     1.5     4.5 113.22   127/   52
GOOGL   189.82  Feb  120     70.95    0.8    4.3    0.8    4.3 118.97 190.80  0.37  0.01   100   100    48     0.8     4.3 118.97   158/   52
GOOGL   189.82  Mar  120     71.25    1.1    4.0    1.1    4.0 118.67 191.10  0.37  0.01   100   100    48     1.1     4.0 118.67   127/   52
GOOGL   189.82  Mar  115     76.25    1.1    4.2    1.1    4.2 113.67 191.10  0.40  0.01   100   100    48     1.1     4.2 113.67   144/   52
GOOGL   189.82  Feb  110     80.70    0.7    3.5    0.7    3.5 109.22 190.55  0.42  0.00   100   100    49     0.7     3.5 109.22   189/   52
GOOGL   189.82  Mar  110     81.15    1.1    4.0    1.1    4.0 108.77 191.00  0.43  0.01   100   100    48     1.1     4.0 108.77   158/   52
GOOGL   189.82  Feb  115     75.75    0.7    3.6    0.7    3.6 114.17 190.60  0.40  0.00   100   100    49     0.7     3.6 114.17   171/   52
GOOGL   189.82  Feb  130     61.25    1.0    5.2    1.0    5.2 128.67 191.10  0.32  0.01   100   100    48     1.0     5.2 128.67   129/   52
GOOGL   189.82  Mar  130     61.75    1.4    5.2    1.4    5.2 128.17 191.60  0.32  0.01   100    99    47     1.4     5.1 128.17   106/   52
MNDY    273.08  Jan'26 75   201.00    3.8    3.5    3.8    3.5  72.18 275.85  0.74  0.01   100   100    49     3.8     3.5  72.18    99/   14
GOOGL   189.82  Apr  125     67.00    1.7    4.8    1.7    4.8 122.92 191.85  0.35  0.01   100    99    47     1.6     4.7 122.92   103/   52
GOOGL   189.82  Apr  120     71.85    1.6    4.6    1.6    4.6 118.07 191.70  0.38  0.01   100   100    48     1.6     4.6 118.07   116/   52
GOOGL   189.82  Feb  125     65.95    0.8    4.1    0.8    4.1 123.97 190.80  0.35  0.01   100   100    48     0.8     4.1 123.97   141/   52
GOOGL   189.82  Mar  125     66.50    1.2    4.6    1.2    4.6 123.42 191.35  0.35  0.01   100   100    48     1.2     4.6 123.42   115/   52
BA      169.65  Mar  105     66.05    1.2    4.5    1.2    4.5 103.70 170.90  0.39  0.01   100    99    48     1.2     4.4 103.70    76/   62
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
MSCI    625.10  Jun  420    212.00    1.6    3.2    1.6    3.2 413.20 631.85  0.34  0.01   100    99    47     1.6     3.1 413.20    93/    8
MSI     469.79  Feb  350    122.00    0.6    3.1    0.6    3.1 347.89 471.85  0.26  0.00   100   100    48     0.6     3.1 347.89   101/   56
MSCI    625.10  Mar  460    169.00    0.8    3.1    0.8    3.1 456.20 628.85  0.27  0.01   100   100    48     0.8     3.0 456.20   100/    8
AAPL    248.13  Mar  145    104.75    1.0    3.8    1.0    3.8 143.48 249.60  0.42  0.01   100   100    48     1.0     3.8 143.48   222/    8
MUSA    550.90  Jul  270    286.10    1.9    3.2    1.9    3.2 264.90 555.95  0.52  0.01   100   100    48     1.9     3.2 264.90   121/   23
BA      169.65  Jan  120     50.15    0.3    3.1    0.3    3.1 119.60 170.00  0.30  0.00   100   100    49     0.3     3.0 119.60   148/   62
AAPL    248.13  Apr  145    105.15    1.3    3.8    1.3    3.8 143.08 250.00  0.42  0.01   100   100    47     1.3     3.8 143.08   200/    8
MSFT    447.27  Jan  380     69.20    0.5    4.9    0.5    4.9 378.17 449.05  0.15  0.00   100    99    48     0.5     4.8 378.17    95/    4
MSFT    447.27  Jan+ 380     68.30    0.2    3.0    0.2    3.0 379.07 448.15  0.15  0.00   100   100    49     0.2     3.0 379.07   105/    4
MSFT    447.27  Jan  375     74.15    0.5    4.8    0.5    4.8 373.22 449.00  0.17  0.00   100   100    48     0.5     4.8 373.22   106/    4
MSFT    447.27  Jan  370     79.05    0.4    4.6    0.4    4.6 368.32 448.90  0.18  0.00   100   100    48     0.4     4.6 368.32   116/    4
MSI     469.79  Nov  260    217.50    3.0    3.2    3.0    3.2 252.39 477.35  0.46  0.02   100    99    47     3.0     3.2 252.39   107/   56
MSFT    447.27  Jan  365     83.95    0.4    4.4    0.4    4.4 363.42 448.80  0.19  0.00   100   100    48     0.4     4.4 363.42   125/    4
MSFT    447.27  Jan+ 385     63.40    0.3    3.3    0.3    3.3 383.97 448.25  0.14  0.00   100   100    48     0.3     3.3 383.97    96/    4
MUSA    550.90  Apr  340    214.60    1.1    3.1    1.1    3.1 336.40 554.45  0.39  0.01   100   100    49     1.0     3.0 336.40   101/   23
